Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;4;4;213;39,00;0,00;0,00
1;4;8;205;38,00;0,00;0,00
2;4;11;198;37,00;0,00;0,00
3;4;15;192;36,00;0,00;0,00
4;4;19;186;35,00;0,00;0,00
5;4;23;180;34,00;0,00;0,00
6;4;25;178;33,00;0,00;0,00
7;4;29;172;32,00;0,00;0,00
8;4;31;168;38,50;0,00;0,00
9;4;33;163;37,50;0,00;0,00
10;4;36;159;36,50;0,00;0,00
11;4;37;156;39,25;0,00;0,00
12;4;38;154;38,25;0,00;0,00
13;4;41;148;37,25;0,00;0,00
14;4;43;147;40,00;0,00;0,00
15;4;43;144;41,50;0,00;0,00
16;4;46;142;40,50;0,00;0,00
17;4;48;138;40,00;0,00;0,00
18;4;47;137;39,25;0,00;0,00
19;4;49;134;38,50;0,00;0,00
20;4;49;134;41,25;0,00;0,00
21;4;49;133;40,75;0,00;0,00
22;4;52;130;40,00;0,00;0,00
23;4;52;127;42,75;0,00;0,00
24;4;51;126;46,00;0,00;0,00
25;4;51;124;48,75;0,00;0,00
26;4;52;124;51,50;0,00;0,00
27;4;54;123;50,50;0,00;0,00
28;4;55;121;54,25;0,00;0,00
29;4;57;119;53,25;0,00;0,00
30;4;58;117;52,25;0,00;0,00
31;4;59;115;51,25;0,00;0,00
32;4;58;114;55,00;0,00;0,00
33;4;60;109;54,00;0,00;0,00
34;4;61;107;53,00;0,00;0,00
35;4;62;105;52,00;0,00;0,00
36;4;63;105;51,00;0,00;0,00
37;4;64;103;50,00;0,00;0,00
38;4;64;102;50,50;0,00;0,00
39;4;65;99;49,50;0,00;0,00
40;3;66;98;65,00;39,00;0,00
41;3;69;95;64,00;39,00;0,00
42;3;71;93;63,00;39,00;0,00
43;3;73;92;67,00;39,00;0,00
44;3;74;92;66,00;39,00;0,00
45;3;75;91;68,33;39,00;0,00
46;3;76;91;67,33;39,00;0,00
47;3;78;89;66,33;39,00;0,00
48;3;79;87;68,67;39,00;0,00
49;3;78;86;69,33;39,00;0,00
50;3;78;85;68,33;39,00;0,00
51;3;79;84;68,67;39,00;0,00
52;3;79;83;68,00;39,00;0,00
53;3;77;82;72,33;39,00;0,00
54;3;76;82;76,67;39,00;0,00
55;3;77;80;77,33;39,00;0,00
56;3;77;80;76,67;39,00;0,00
57;3;78;79;75,67;39,00;0,00
58;3;77;79;78,33;39,00;0,00
59;3;76;78;78,67;39,00;0,00
60;3;77;76;78,67;39,00;0,00
61;3;78;75;78,33;39,00;0,00
62;3;78;75;78,00;39,00;0,00
63;3;78;74;77,33;39,00;0,00
64;3;79;74;77,33;39,00;0,00
65;3;80;73;76,33;39,00;0,00
66;3;79;73;76,00;39,00;0,00
67;3;80;73;75,00;39,00;0,00
68;3;80;72;74,67;39,00;0,00
69;3;80;71;74,00;39,00;0,00
70;3;83;68;73,00;39,00;0,00
71;3;84;67;72,67;39,00;0,00
72;3;84;66;76,00;39,00;0,00
73;3;83;66;78,33;39,00;0,00
74;3;84;65;78,00;39,00;0,00
75;3;85;64;78,00;39,00;0,00
76;3;85;64;77,33;39,00;0,00
77;3;86;62;76,67;39,00;0,00
78;3;85;62;78,00;39,00;0,00
79;3;84;62;78,67;39,00;0,00
80;3;83;62;78,33;39,00;0,00
81;3;82;61;78,00;39,00;0,00
