Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;4;4;213;39,00;0,00;0,00
1;4;8;206;38,00;0,00;0,00
2;4;12;199;37,00;0,00;0,00
3;4;16;193;36,00;0,00;0,00
4;5;19;187;31,80;0,00;0,40
5;6;21;184;28,83;0,00;0,67
6;6;24;180;27,83;0,00;0,67
7;6;26;174;29,33;0,00;0,67
8;6;28;169;30,83;0,00;0,67
9;6;30;164;34,83;0,00;0,67
10;6;34;159;33,83;0,00;0,67
11;6;34;156;37,83;0,00;0,67
12;6;34;153;44,33;0,00;0,67
13;6;35;150;48,33;0,00;0,67
14;6;38;148;49,83;0,00;0,67
15;7;38;146;47,43;0,00;0,86
16;7;40;143;48,57;0,00;0,86
17;7;41;142;48,57;0,00;0,86
18;7;43;138;49,71;0,00;0,86
19;7;46;135;48,71;0,00;0,86
20;7;47;131;49,86;0,00;0,86
21;7;46;129;53,14;0,00;0,86
22;7;48;122;54,29;0,00;0,86
23;7;51;119;54,43;0,00;0,86
24;7;54;114;53,43;0,00;0,86
25;7;53;112;53,57;0,00;0,86
26;8;54;109;48,38;0,00;1,00
27;9;53;107;44,67;0,00;1,11
28;9;53;104;44,67;0,00;1,11
29;9;53;103;45,78;0,00;1,11
30;9;54;103;44,78;0,00;1,11
31;9;55;100;44,22;0,00;1,11
32;10;57;95;41,10;0,00;1,20
33;10;59;92;40,30;0,00;1,20
34;10;58;88;42,50;0,00;1,20
35;10;56;85;44,80;0,00;1,20
36;10;56;83;45,40;0,00;1,20
37;10;59;79;44,40;0,00;1,20
38;10;57;78;47,90;0,00;1,20
39;11;57;76;46,09;0,00;1,27
40;11;58;74;46,18;0,00;1,27
41;11;60;72;45,64;0,00;1,27
42;11;61;69;46,27;0,00;1,27
43;11;61;66;46,27;0,00;1,27
44;11;59;65;46,82;0,00;1,27
45;12;62;63;43,58;0,00;1,33
46;12;62;63;44,50;0,00;1,33
47;12;60;62;47,58;0,00;1,33
48;12;55;60;49,75;0,00;1,33
49;12;54;58;52,67;0,00;1,33
50;12;53;57;52,08;0,00;1,33
51;13;55;54;49,00;0,00;1,38
52;14;52;51;46,64;0,00;1,43
53;14;53;50;45,71;0,00;1,43
54;14;53;46;44,79;0,00;1,43
55;16;53;45;41,31;0,00;1,50
56;17;51;45;40,94;0,00;1,53
57;17;53;43;42,00;24,00;1,47
58;17;55;40;41,12;24,00;1,47
59;18;56;38;40,00;24,00;1,50
60;19;58;37;38,74;24,00;1,53
61;19;56;36;40,89;24,00;1,53
62;19;53;35;41,84;24,00;1,53
63;20;52;34;41,15;24,00;1,55
64;21;53;32;39,81;24,00;1,57
65;21;54;32;42,14;35,67;1,43
66;23;51;31;40,17;35,67;1,48
67;25;50;31;38,88;35,67;1,52
68;26;51;31;38,31;35,67;1,54
69;27;49;31;39,59;34,00;1,59
70;28;47;30;39,50;34,00;1,61
71;30;45;29;38,27;34,00;1,63
72;32;41;28;38,47;34,00;1,66
73;33;41;27;38,48;29,00;1,64
74;36;39;24;37,19;29,00;1,67
75;40;41;23;35,23;29,00;1,70
76;43;38;21;35,49;27,33;1,72
77;45;35;19;35,58;24,71;1,71
78;50;31;18;34,68;24,71;1,74
79;56;32;17;32,66;24,71;1,77
80;60;30;16;32,63;32,22;1,58
81;66;31;15;30,82;31,90;1,64
82;72;29;13;30,04;29,82;1,65
83;81;27;12;28,68;29,82;1,69
84;88;24;11;28,19;27,38;1,70
85;102;23;11;26,61;27,38;1,75
86;116;21;11;25,97;24,56;1,76
87;130;19;10;25,01;24,56;1,78
88;145;21;9;24,21;21,95;1,79
89;165;21;7;23,19;21,33;1,81
90;192;20;7;22,44;20,42;1,82
91;217;18;7;21,85;19,89;1,81
92;254;19;6;21,00;19,30;1,82
93;289;18;4;20,62;19,46;1,81
94;338;17;2;20,05;18,93;1,82
95;394;15;2;19,68;18,24;1,82
96;454;15;2;19,25;17,00;1,82
97;534;12;2;18,89;16,50;1,83
98;623;10;1;18,54;15,46;1,83
99;729;9;1;18,32;14,98;1,83
100;852;8;0;18,26;14,20;1,82
101;1005;9;0;18,03;14,31;1,82
102;1202;9;0;17,88;14,11;1,83
103;1431;7;0;17,76;13,69;1,83
104;1718;5;0;17,69;13,20;1,84
105;2067;4;0;17,69;12,79;1,84
106;2498;4;0;17,63;12,81;1,84
107;3041;4;0;17,58;12,41;1,84
108;3720;4;0;17,50;12,30;1,84
109;4531;4;0;17,48;11,90;1,85
110;5546;4;0;17,46;11,58;1,85
111;6806;4;0;17,43;11,23;1,85
112;8330;4;0;17,46;10,96;1,85
113;10230;4;0;17,44;10,74;1,86
114;12562;4;0;17,44;10,57;1,86
115;15447;4;0;17,45;10,35;1,86
116;18990;4;0;17,46;10,18;1,86
117;23369;4;0;17,47;10,03;1,86
118;28756;4;0;17,48;9,91;1,86
119;35429;4;0;17,48;9,77;1,86
120;43635;4;0;17,49;9,66;1,86
121;53770;4;0;17,49;9,56;1,86
122;66269;4;0;17,50;9,47;1,86
123;81690;4;0;17,50;9,40;1,86
124;100724;4;0;17,50;9,34;1,86
125;124205;4;0;17,50;9,28;1,86
126;153183;4;0;17,50;9,24;1,86
127;188922;4;0;17,51;9,20;1,86
128;233014;4;0;17,51;9,17;1,86
129;287421;4;0;17,51;9,14;1,86
130;354556;4;0;17,51;9,12;1,86
131;437363;4;0;17,51;9,10;1,86
132;539539;4;0;17,51;9,08;1,86
133;665611;4;0;17,51;9,07;1,86
