Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;10;4;201;39,00;0,00;0,00
1;10;8;189;38,00;0,00;0,00
2;10;12;176;37,00;0,00;0,00
3;10;16;166;36,00;0,00;0,00
4;10;19;156;35,70;0,00;0,00
5;10;19;150;35,50;0,00;0,00
6;10;20;146;35,50;0,00;0,00
7;10;24;138;34,50;0,00;0,00
8;10;27;132;33,50;0,00;0,00
9;10;28;124;33,20;0,00;0,00
10;10;29;119;32,20;0,00;0,00
11;10;29;115;32,20;0,00;0,00
12;10;30;110;32,00;0,00;0,00
13;10;32;107;31,00;0,00;0,00
14;10;32;104;30,50;0,00;0,00
15;10;34;99;30,00;0,00;0,00
16;10;37;94;29,00;0,00;0,00
17;10;35;92;30,30;0,00;0,00
18;10;36;88;29,80;0,00;0,00
19;10;36;84;29,30;0,00;0,00
20;10;36;79;30,10;0,00;0,00
21;10;38;77;29,70;0,00;0,00
22;10;39;74;29,50;0,00;0,00
23;10;40;71;29,10;0,00;0,00
24;10;42;66;28,20;0,00;0,00
25;10;41;65;28,00;0,00;0,00
26;10;40;64;28,50;0,00;0,00
27;10;41;62;28,50;0,00;0,00
28;10;43;59;27,50;0,00;0,00
29;10;44;59;26,50;0,00;0,00
30;10;46;58;25,50;0,00;0,00
31;10;49;56;25,00;0,00;0,00
32;10;51;55;24,00;0,00;0,00
33;10;53;55;23,00;0,00;0,00
34;10;51;54;23,60;0,00;0,00
35;10;50;52;23,40;0,00;0,00
36;10;51;51;22,60;0,00;0,00
37;10;52;50;21,70;0,00;0,00
38;10;53;49;21,60;0,00;0,00
39;10;54;48;21,20;0,00;0,00
40;7;56;48;29,29;39,00;0,00
41;7;55;48;30,29;39,00;0,00
42;7;54;48;30,57;39,00;0,00
43;7;54;47;30,29;39,00;0,00
44;7;52;46;31,00;39,00;0,00
45;7;53;46;30,00;39,00;0,00
46;7;55;46;29,00;39,00;0,00
47;6;55;45;33,33;40,75;0,00
48;5;53;44;44,20;42,00;0,00
49;5;53;44;44,40;42,00;0,00
50;5;54;44;44,60;42,00;0,00
51;4;56;44;56,75;43,33;0,00
52;4;57;44;55,75;43,33;0,00
53;4;57;43;54,75;43,33;0,00
