Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;4;4;213;39,00;0,00;0,00
1;4;8;206;38,00;0,00;0,00
2;4;12;200;37,00;0,00;0,00
3;4;16;193;36,00;0,00;0,00
4;4;19;186;35,00;0,00;0,00
5;4;20;181;37,75;0,00;0,00
6;4;23;176;36,75;0,00;0,00
7;4;25;172;35,75;0,00;0,00
8;4;29;167;34,75;0,00;0,00
9;4;28;166;41,25;0,00;0,00
10;4;29;162;44,00;0,00;0,00
11;4;30;159;43,00;0,00;0,00
12;4;32;156;42,00;0,00;0,00
13;4;32;154;41,00;0,00;0,00
14;4;34;149;47,50;0,00;0,00
15;4;36;144;50,25;0,00;0,00
16;4;37;140;53,00;0,00;0,00
17;4;39;137;52,00;0,00;0,00
18;4;42;130;51,00;0,00;0,00
19;4;45;127;50,00;0,00;0,00
20;4;44;125;56,50;0,00;0,00
21;4;45;123;59,25;0,00;0,00
22;4;48;121;58,25;0,00;0,00
23;4;50;117;57,25;0,00;0,00
