Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;4;4;213;39,00;0,00;0,00
1;4;7;206;38,00;0,00;0,00
2;4;11;200;37,00;0,00;0,00
3;4;15;193;36,00;0,00;0,00
4;4;19;188;35,00;0,00;0,00
5;4;23;180;34,00;0,00;0,00
6;4;26;174;36,75;0,00;0,00
7;4;30;167;35,75;0,00;0,00
8;4;31;164;34,75;0,00;0,00
9;4;32;161;33,75;0,00;0,00
10;4;33;159;32,75;0,00;0,00
11;4;35;154;35,50;0,00;0,00
12;4;36;152;34,50;0,00;0,00
13;4;37;148;33,50;0,00;0,00
14;4;40;145;36,25;0,00;0,00
15;4;40;142;39,00;0,00;0,00
16;4;41;140;45,50;0,00;0,00
17;4;42;136;44,50;0,00;0,00
18;4;42;135;47,25;0,00;0,00
19;4;42;134;50,00;0,00;0,00
20;4;44;132;52,75;0,00;0,00
21;4;47;131;51,75;0,00;0,00
22;4;49;128;54,50;0,00;0,00
23;4;51;125;53,50;0,00;0,00
24;4;54;125;52,50;0,00;0,00
25;4;56;122;51,50;0,00;0,00
26;4;56;121;54,25;0,00;0,00
27;4;57;120;53,25;0,00;0,00
28;4;58;118;56,00;0,00;0,00
29;4;58;118;55,00;0,00;0,00
30;4;58;118;61,50;0,00;0,00
31;4;59;116;64,25;0,00;0,00
32;4;58;116;67,00;0,00;0,00
33;4;58;114;69,75;0,00;0,00
34;4;57;114;76,25;0,00;0,00
35;4;58;113;79,00;0,00;0,00
36;4;58;111;81,75;0,00;0,00
37;4;57;110;84,50;0,00;0,00
38;4;57;109;87,25;0,00;0,00
39;4;58;107;86,25;0,00;0,00
40;2;60;104;179,00;39,00;0,00
41;2;60;103;185,50;39,00;0,00
42;2;61;102;184,50;39,00;0,00
43;2;61;102;191,00;39,00;0,00
44;2;60;102;197,50;39,00;0,00
45;2;62;101;196,50;39,00;0,00
46;2;63;100;195,50;39,00;0,00
47;2;65;99;194,50;39,00;0,00
48;2;65;99;193,50;39,00;0,00
49;2;65;99;200,00;39,00;0,00
50;2;68;96;206,50;39,00;0,00
51;2;68;96;213,00;39,00;0,00
52;2;67;96;219,50;39,00;0,00
53;2;68;95;226,00;39,00;0,00
54;2;68;95;232,50;39,00;0,00
55;2;68;95;239,00;39,00;0,00
56;2;68;94;245,50;39,00;0,00
57;2;68;93;244,50;39,00;0,00
58;2;69;92;243,50;39,00;0,00
59;2;71;91;242,50;39,00;0,00
60;2;70;91;249,00;39,00;0,00
61;2;70;91;255,50;39,00;0,00
62;2;71;91;254,50;39,00;0,00
63;2;72;91;253,50;39,00;0,00
64;2;74;91;252,50;39,00;0,00
65;2;74;90;259,00;39,00;0,00
66;2;76;89;258,00;39,00;0,00
67;2;76;89;257,00;39,00;0,00
68;2;76;89;256,00;39,00;0,00
69;2;77;88;255,00;39,00;0,00
70;2;77;87;261,50;39,00;0,00
71;2;78;86;268,00;39,00;0,00
72;2;80;85;267,00;39,00;0,00
73;2;80;84;266,00;39,00;0,00
74;2;79;84;272,50;39,00;0,00
75;2;78;84;279,00;39,00;0,00
76;2;78;84;285,50;39,00;0,00
77;2;78;84;284,50;39,00;0,00
78;2;78;84;283,50;39,00;0,00
79;2;79;82;290,00;39,00;0,00
80;2;79;82;289,00;39,00;0,00
81;2;81;81;288,00;39,00;0,00
82;2;82;80;287,00;39,00;0,00
83;2;84;79;286,00;39,00;0,00
84;2;85;79;285,00;39,00;0,00
85;2;85;79;291,50;39,00;0,00
86;2;86;79;290,50;39,00;0,00
87;2;86;79;289,50;39,00;0,00
88;2;87;79;288,50;39,00;0,00
89;2;88;79;295,00;39,00;0,00
90;2;89;78;294,00;39,00;0,00
91;2;88;78;300,50;39,00;0,00
92;2;89;77;299,50;39,00;0,00
93;2;89;77;298,50;39,00;0,00
