Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;4;4;213;39,00;0,00;0,00
1;4;8;206;38,00;0,00;0,00
2;4;12;198;37,00;0,00;0,00
3;4;16;196;36,00;0,00;0,00
4;4;20;189;35,00;0,00;0,00
5;5;24;185;31,00;0,00;0,40
6;5;26;180;30,00;0,00;0,40
7;5;28;175;29,00;0,00;0,40
8;5;29;172;28,00;0,00;0,40
9;5;32;166;27,00;0,00;0,40
10;5;31;164;29,20;0,00;0,40
11;5;33;159;28,20;0,00;0,40
12;5;36;157;27,20;0,00;0,40
13;5;38;154;26,20;0,00;0,40
14;5;40;150;25,20;0,00;0,40
