Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;4;4;213;39,00;0,00;0,00
1;4;8;205;38,00;0,00;0,00
2;4;12;198;37,00;0,00;0,00
3;4;16;191;36,00;0,00;0,00
4;4;19;186;35,00;0,00;0,00
5;4;23;182;34,00;0,00;0,00
6;4;25;177;36,75;0,00;0,00
7;4;26;175;35,75;0,00;0,00
8;4;26;171;38,50;0,00;0,00
9;4;27;168;37,50;0,00;0,00
10;4;30;163;36,50;0,00;0,00
11;4;33;160;35,50;0,00;0,00
12;4;36;154;34,50;0,00;0,00
13;4;36;152;37,25;0,00;0,00
14;4;36;149;40,00;0,00;0,00
15;4;38;146;39,00;0,00;0,00
16;4;41;142;38,00;0,00;0,00
17;4;42;141;40,75;0,00;0,00
18;4;45;138;39,75;0,00;0,00
19;4;45;136;38,75;0,00;0,00
20;4;46;132;37,75;0,00;0,00
21;4;47;128;40,50;0,00;0,00
22;4;49;123;39,50;0,00;0,00
23;4;52;119;38,50;0,00;0,00
24;4;54;117;41,25;0,00;0,00
25;4;53;117;44,00;0,00;0,00
26;4;53;115;43,00;0,00;0,00
27;4;53;115;45,75;0,00;0,00
28;4;53;114;56,00;0,00;0,00
29;4;54;112;55,00;0,00;0,00
30;4;56;108;57,75;0,00;0,00
31;4;58;106;60,50;0,00;0,00
32;4;60;103;63,25;0,00;0,00
33;4;60;101;66,00;0,00;0,00
34;4;62;99;65,00;0,00;0,00
35;4;66;95;64,00;0,00;0,00
36;4;68;93;63,00;0,00;0,00
37;4;68;92;65,75;0,00;0,00
38;4;67;92;72,25;0,00;0,00
39;5;68;91;60,80;0,00;0,40
40;5;69;89;59,80;0,00;0,40
41;5;70;88;58,80;0,00;0,40
42;5;68;86;63,80;0,00;0,40
43;5;67;84;68,80;0,00;0,40
44;5;66;82;73,80;0,00;0,40
45;5;66;82;75,80;0,00;0,40
46;5;67;78;77,80;0,00;0,40
47;5;68;77;79,80;0,00;0,40
48;5;67;76;84,80;0,00;0,40
49;5;68;75;83,80;0,00;0,40
50;5;68;75;88,80;0,00;0,40
51;5;68;75;90,80;0,00;0,40
52;5;66;74;95,80;0,00;0,40
53;5;66;74;94,80;0,00;0,40
54;5;64;74;99,80;0,00;0,40
55;5;65;71;101,80;0,00;0,40
56;5;65;71;100,80;0,00;0,40
57;5;67;70;99,80;0,00;0,40
