Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;4;30;188;39,00;0,00;0,00
1;4;44;171;38,00;0,00;0,00
2;4;53;158;37,00;0,00;0,00
3;4;57;153;39,75;0,00;0,00
4;4;66;143;42,50;0,00;0,00
5;4;72;135;45,25;0,00;0,00
6;4;79;127;51,75;0,00;0,00
7;4;86;119;54,50;0,00;0,00
8;4;91;114;61,00;0,00;0,00
9;4;99;105;63,75;0,00;0,00
10;4;103;99;66,50;0,00;0,00
11;4;104;97;73,00;0,00;0,00
12;4;110;91;72,00;0,00;0,00
13;4;116;86;74,75;0,00;0,00
14;4;121;79;85,00;0,00;0,00
15;4;122;76;87,75;0,00;0,00
16;4;125;72;90,50;0,00;0,00
17;4;131;67;89,50;0,00;0,00
18;4;131;66;99,75;0,00;0,00
19;4;131;64;113,75;0,00;0,00
20;4;132;62;120,25;0,00;0,00
21;4;135;61;123,00;0,00;0,00
22;4;136;59;125,75;0,00;0,00
23;4;137;57;132,25;0,00;0,00
24;4;140;53;135,00;0,00;0,00
25;4;141;52;141,50;0,00;0,00
26;4;146;49;144,25;0,00;0,00
27;4;150;44;150,75;0,00;0,00
28;4;152;43;149,75;0,00;0,00
29;4;153;40;152,50;0,00;0,00
30;4;154;39;159,00;0,00;0,00
31;4;154;38;165,50;0,00;0,00
32;4;154;37;175,75;0,00;0,00
33;4;156;35;189,75;0,00;0,00
34;4;156;33;200,00;0,00;0,00
35;4;158;31;206,50;0,00;0,00
36;4;159;28;209,25;0,00;0,00
37;4;158;27;215,75;0,00;0,00
38;4;159;25;222,25;0,00;0,00
39;4;160;24;232,50;0,00;0,00
40;4;161;23;242,75;0,00;0,00
41;4;163;21;249,25;0,00;0,00
42;4;169;20;255,75;0,00;0,00
43;4;170;19;266,00;0,00;0,00
44;4;169;18;276,25;0,00;0,00
45;4;169;17;290,25;0,00;0,00
46;4;168;17;300,50;0,00;0,00
47;4;169;17;307,00;0,00;0,00
48;4;174;15;313,50;0,00;0,00
49;4;178;15;320,00;0,00;0,00
50;4;181;15;330,25;0,00;0,00
51;4;182;15;340,50;0,00;0,00
52;4;182;14;350,75;0,00;0,00
53;4;185;12;361,00;0,00;0,00
54;4;183;11;367,50;0,00;0,00
55;4;184;11;381,50;0,00;0,00
56;4;187;10;384,25;0,00;0,00
57;4;186;10;390,75;0,00;0,00
58;4;187;10;401,00;0,00;0,00
