Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;4;4;213;39,00;0,00;0,00
1;4;8;205;38,00;0,00;0,00
2;4;11;199;37,00;0,00;0,00
3;4;13;193;36,00;0,00;0,00
4;4;14;189;35,00;0,00;0,00
5;4;15;184;37,75;0,00;0,00
6;4;18;178;36,75;0,00;0,00
7;4;21;173;35,75;0,00;0,00
8;4;24;167;38,50;0,00;0,00
9;4;27;162;41,25;0,00;0,00
10;4;28;158;40,25;0,00;0,00
11;4;30;155;43,00;0,00;0,00
12;4;33;149;42,00;0,00;0,00
13;4;33;146;48,50;0,00;0,00
14;4;36;142;47,50;0,00;0,00
15;4;37;138;50,25;0,00;0,00
16;4;38;134;53,00;0,00;0,00
17;4;40;129;59,50;0,00;0,00
18;4;41;126;66,00;0,00;0,00
19;5;42;124;58,80;0,00;0,40
20;5;44;120;60,80;0,00;0,40
21;6;45;117;55,50;0,00;0,67
22;7;46;115;49,43;0,00;0,86
23;9;48;111;41,89;0,00;1,11
24;10;49;108;38,70;0,00;1,20
25;12;50;105;34,58;0,00;1,33
26;14;52;103;31,50;0,00;1,43
27;16;52;100;30,94;0,00;1,50
28;16;50;97;32,75;0,00;1,50
29;17;50;95;32,76;0,00;1,53
30;18;49;93;32,72;0,00;1,56
31;18;51;89;32,83;9,00;1,50
32;19;52;87;31,16;9,00;1,53
33;20;52;84;30,35;9,00;1,55
34;19;52;81;32,79;10,67;1,37
35;20;52;79;33,65;16,50;1,40
36;21;50;75;34,86;16,50;1,43
37;22;50;70;35,23;16,50;1,45
38;23;50;65;36,17;16,50;1,48
39;24;49;64;37,63;16,50;1,50
40;26;48;63;37,58;16,50;1,54
41;29;46;61;36,83;16,50;1,59
42;31;43;60;37,65;16,50;1,61
43;31;39;57;40,19;17,00;1,61
44;33;39;54;39,79;17,00;1,64
45;34;36;50;41,59;21,14;1,50
46;37;37;47;39,65;21,14;1,54
47;42;35;43;37,86;20,88;1,60
48;48;35;41;35,56;20,88;1,65
49;52;38;39;34,42;19,50;1,65
50;63;38;37;31,62;19,50;1,71
51;73;34;36;30,47;19,50;1,75
52;86;36;34;28,23;19,50;1,79
53;99;33;33;27,41;19,00;1,80
54;116;34;32;25,76;18,17;1,82
55;135;32;30;24,43;17,46;1,84
56;154;30;28;23,73;16,67;1,84
57;174;26;25;23,22;15,76;1,84
58;201;22;19;22,91;15,74;1,81
59;237;22;16;22,05;14,74;1,82
60;277;20;14;21,66;14,86;1,81
61;324;18;11;21,02;15,22;1,80
62;389;15;11;20,33;15,33;1,83
63;463;12;7;19,74;14,48;1,84
64;540;8;4;19,34;13,76;1,84
65;639;7;3;19,07;13,68;1,83
66;758;5;2;18,70;13,35;1,84
67;902;4;0;18,57;13,24;1,84
68;1075;5;0;18,29;12,71;1,84
69;1295;5;0;18,14;12,27;1,83
70;1555;4;0;18,04;11,94;1,83
71;1880;4;0;17,94;11,69;1,83
72;2274;4;0;17,89;11,52;1,83
73;2767;4;0;17,82;11,27;1,84
74;3389;4;0;17,74;11,03;1,84
75;4150;4;0;17,65;10,80;1,85
76;5079;4;0;17,60;10,63;1,85
77;6225;4;0;17,56;10,45;1,85
78;7650;4;0;17,53;10,28;1,85
79;9397;4;0;17,50;10,13;1,86
80;11556;4;0;17,49;10,02;1,86
81;14210;4;0;17,47;9,91;1,86
82;17494;4;0;17,47;9,79;1,86
83;21520;4;0;17,47;9,70;1,86
84;26496;4;0;17,48;9,59;1,86
85;32630;4;0;17,48;9,52;1,86
86;40196;4;0;17,48;9,46;1,86
87;49521;4;0;17,49;9,40;1,86
88;61034;4;0;17,49;9,34;1,86
89;75225;4;0;17,50;9,30;1,86
90;92747;4;0;17,50;9,27;1,86
91;114364;4;0;17,50;9,23;1,86
92;141019;4;0;17,51;9,20;1,86
93;173943;4;0;17,51;9,17;1,86
94;214533;4;0;17,51;9,14;1,86
95;264618;4;0;17,51;9,12;1,86
96;326419;4;0;17,51;9,10;1,86
97;402670;4;0;17,51;9,08;1,86
98;496735;4;0;17,51;9,07;1,86
99;612796;4;0;17,51;9,06;1,86
100;755961;4;0;17,51;9,05;1,86
101;932619;4;0;17,51;9,04;1,86
102;1150581;4;0;17,51;9,03;1,86
103;1419451;4;0;17,51;9,03;1,86
