Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;21;4;183;38,05;0,00;0,10
1;22;8;165;36,23;0,00;0,18
2;24;12;149;33,88;0,00;0,33
3;24;16;138;32,88;0,00;0,33
4;26;19;129;31,19;0,00;0,46
5;26;22;118;31,15;0,00;0,42
6;28;25;111;29,36;0,00;0,54
7;30;27;105;27,73;0,00;0,63
8;31;30;97;26,65;0,00;0,68
9;31;32;88;25,94;0,00;0,68
10;34;31;81;24,59;0,00;0,79
11;36;32;77;23,78;0,00;0,86
12;37;35;72;22,84;0,00;0,89
13;39;35;72;21,69;0,00;0,95
14;41;38;67;20,61;0,00;1,00
15;45;40;64;19,56;0,00;1,09
16;45;40;60;19,42;0,00;1,09
17;47;41;57;19,21;9,00;1,11
18;50;43;51;18,36;9,00;1,16
19;52;45;49;18,06;11,50;1,17
20;48;42;45;20,85;17,33;1,10
21;48;36;43;21,25;17,50;1,10
22;48;35;43;21,25;17,64;1,10
23;50;35;41;20,62;17,64;1,14
24;52;33;37;20,15;17,64;1,17
25;54;34;36;19,26;17,64;1,20
26;57;37;32;18,74;17,75;1,25
27;57;38;29;18,44;18,43;1,25
28;60;39;27;18,07;18,47;1,28
29;63;39;25;17,40;18,47;1,32
30;59;36;23;19,78;20,75;1,34
31;58;36;21;19,72;20,62;1,33
32;58;34;20;20,34;21,07;1,34
33;60;34;20;19,75;21,07;1,37
34;60;34;20;19,32;21,00;1,37
35;60;35;18;19,58;20,81;1,37
36;61;35;17;19,79;20,41;1,36
37;62;32;16;19,60;20,37;1,37
38;62;31;16;20,23;20,36;1,27
39;65;33;16;19,40;20,36;1,31
40;64;34;16;20,22;21,61;1,36
41;69;33;16;19,75;21,61;1,41
42;71;33;15;19,65;21,83;1,44
43;72;32;15;19,60;21,92;1,46
44;73;27;15;19,93;22,02;1,41
45;80;26;13;19,68;21,96;1,46
46;84;22;13;19,42;21,71;1,48
47;88;24;12;19,23;21,62;1,49
48;91;23;7;19,71;21,95;1,48
49;96;19;6;19,43;22,13;1,52
50;96;18;5;19,92;22,35;1,54
51;100;16;5;19,64;22,10;1,54
52;101;17;5;20,10;21,68;1,48
53;105;15;5;20,67;21,45;1,49
54;114;14;4;20,46;21,29;1,50
55;120;13;4;20,43;21,45;1,52
56;131;16;4;19,90;21,31;1,55
57;141;13;2;19,88;21,06;1,55
58;153;12;2;19,77;20,86;1,56
59;165;12;2;19,15;20,72;1,59
60;182;12;1;18,68;20,48;1,62
61;199;11;1;18,43;20,55;1,63
62;216;9;1;18,33;20,54;1,64
63;235;10;1;18,09;20,45;1,65
64;253;8;0;18,11;20,36;1,65
65;282;9;0;18,15;20,08;1,66
66;308;7;0;18,18;19,78;1,67
67;344;4;0;18,04;19,36;1,68
68;384;5;0;17,86;19,09;1,70
69;435;7;0;17,56;18,96;1,72
70;490;6;0;17,49;18,39;1,73
71;558;6;0;17,39;18,24;1,73
72;631;5;0;17,41;17,78;1,74
73;722;5;0;17,38;17,33;1,75
74;840;4;0;17,37;16,91;1,76
75;988;4;0;17,40;16,45;1,77
76;1169;4;0;17,35;15,96;1,78
77;1381;4;0;17,29;15,52;1,80
78;1647;4;0;17,36;15,10;1,80
79;1978;5;0;17,31;14,71;1,81
80;2387;5;0;17,30;14,31;1,82
81;2873;4;0;17,35;13,81;1,83
82;3491;4;0;17,38;13,39;1,83
83;4258;4;0;17,35;12,95;1,84
84;5203;4;0;17,37;12,52;1,84
85;6344;4;0;17,42;12,11;1,85
86;7767;4;0;17,43;11,74;1,85
87;9530;4;0;17,42;11,41;1,85
88;11707;4;0;17,44;11,13;1,85
89;14372;4;0;17,46;10,87;1,86
90;17668;4;0;17,47;10,62;1,86
91;21755;4;0;17,47;10,38;1,86
92;26779;4;0;17,47;10,16;1,86
93;32973;4;0;17,48;10,00;1,86
94;40612;4;0;17,49;9,84;1,86
95;50049;4;0;17,49;9,71;1,86
96;61690;4;0;17,49;9,60;1,86
97;76042;4;0;17,50;9,51;1,86
98;93743;4;0;17,50;9,43;1,86
99;115598;4;0;17,50;9,36;1,86
100;142560;4;0;17,50;9,30;1,86
101;175824;4;0;17,51;9,25;1,86
102;216859;4;0;17,51;9,21;1,86
103;267478;4;0;17,51;9,17;1,86
104;329942;4;0;17,51;9,14;1,86
105;407002;4;0;17,51;9,12;1,86
106;502062;4;0;17,51;9,10;1,86
107;619372;4;0;17,51;9,08;1,86
108;764099;4;0;17,51;9,07;1,86
109;942632;4;0;17,51;9,06;1,86
110;1162918;4;0;17,51;9,05;1,86
111;1434689;4;0;17,51;9,04;1,86
