Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;4;4;214;39,00;0,00;0,00
1;4;8;207;38,00;0,00;0,00
2;4;11;202;37,00;0,00;0,00
3;4;14;196;39,75;0,00;0,00
4;4;17;190;38,75;0,00;0,00
5;4;20;185;37,75;0,00;0,00
6;4;24;179;36,75;0,00;0,00
7;4;27;174;35,75;0,00;0,00
8;4;31;167;34,75;0,00;0,00
9;4;32;164;33,75;0,00;0,00
10;4;33;160;32,75;0,00;0,00
11;4;36;157;31,75;0,00;0,00
12;4;37;156;30,75;0,00;0,00
13;4;39;152;29,75;0,00;0,00
14;4;39;150;32,50;0,00;0,00
15;4;39;149;35,25;0,00;0,00
16;4;41;147;38,00;0,00;0,00
17;4;42;145;40,75;0,00;0,00
18;4;44;143;39,75;0,00;0,00
19;4;46;140;38,75;0,00;0,00
20;4;48;137;37,75;0,00;0,00
21;4;51;133;36,75;0,00;0,00
22;4;51;132;35,75;0,00;0,00
23;4;51;132;38,50;0,00;0,00
24;4;51;131;41,25;0,00;0,00
25;4;50;130;44,00;0,00;0,00
26;4;51;128;43,00;0,00;0,00
27;4;50;127;45,75;0,00;0,00
28;4;51;124;48,50;0,00;0,00
29;4;53;122;47,50;0,00;0,00
30;4;55;121;46,50;0,00;0,00
31;4;55;120;53,00;0,00;0,00
32;4;57;119;55,75;0,00;0,00
33;4;57;118;58,50;0,00;0,00
34;4;59;117;61,25;0,00;0,00
