Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;4;4;613;39,00;0,00;0,00
1;4;8;605;38,00;0,00;0,00
2;4;12;599;37,00;0,00;0,00
3;4;16;591;36,00;0,00;0,00
4;4;20;583;35,00;0,00;0,00
5;4;23;577;34,00;0,00;0,00
6;4;26;571;33,00;0,00;0,00
7;4;30;565;32,00;0,00;0,00
8;4;33;560;31,00;0,00;0,00
9;4;36;555;30,00;0,00;0,00
10;4;39;548;29,00;0,00;0,00
11;4;43;540;28,00;0,00;0,00
12;4;46;535;27,00;0,00;0,00
13;4;48;531;26,00;0,00;0,00
14;4;50;526;25,00;0,00;0,00
15;4;53;521;24,00;0,00;0,00
16;4;55;516;25,50;0,00;0,00
17;4;57;512;24,50;0,00;0,00
18;4;60;507;23,50;0,00;0,00
19;4;62;503;22,50;0,00;0,00
20;4;65;498;24,00;0,00;0,00
21;4;67;493;23,00;0,00;0,00
22;4;70;489;22,00;0,00;0,00
23;4;73;484;22,25;0,00;0,00
24;4;73;482;23,75;0,00;0,00
25;4;76;478;22,75;0,00;0,00
26;4;79;473;21,75;0,00;0,00
27;4;82;470;20,75;0,00;0,00
28;4;83;468;19,75;0,00;0,00
29;4;86;464;18,75;0,00;0,00
30;4;87;460;17,75;0,00;0,00
31;4;89;457;16,75;0,00;0,00
32;4;91;454;15,75;0,00;0,00
33;4;92;450;14,75;0,00;0,00
