Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;4;4;213;39,00;0,00;0,00
1;4;8;205;38,00;0,00;0,00
2;4;10;201;37,00;0,00;0,00
3;4;14;194;36,00;0,00;0,00
4;5;17;188;31,80;0,00;0,40
5;5;20;182;30,80;0,00;0,40
6;5;22;177;29,80;0,00;0,40
7;5;24;173;31,80;0,00;0,40
8;5;28;166;30,80;0,00;0,40
9;5;29;162;35,80;0,00;0,40
10;5;30;158;37,80;0,00;0,40
11;5;31;155;39,80;0,00;0,40
12;5;33;151;41,80;0,00;0,40
13;5;35;147;40,80;0,00;0,40
14;5;37;143;42,80;0,00;0,40
15;5;39;138;41,80;0,00;0,40
16;5;41;133;40,80;0,00;0,40
17;5;41;130;45,80;0,00;0,40
18;5;43;126;47,80;0,00;0,40
19;5;44;124;49,80;0,00;0,40
20;5;44;121;54,80;0,00;0,40
21;5;44;117;56,80;0,00;0,40
22;5;45;114;55,80;0,00;0,40
23;5;44;111;57,80;0,00;0,40
24;5;46;107;56,80;0,00;0,40
25;5;46;103;61,80;0,00;0,40
26;5;44;102;66,80;0,00;0,40
27;5;43;99;68,80;0,00;0,40
28;5;46;92;70,80;0,00;0,40
29;5;46;90;72,80;0,00;0,40
30;5;46;88;71,80;0,00;0,40
31;5;46;87;76,80;0,00;0,40
32;5;47;85;78,80;0,00;0,40
33;5;48;85;77,80;0,00;0,40
34;5;49;82;76,80;0,00;0,40
35;5;49;79;78,80;0,00;0,40
36;5;51;77;80,80;0,00;0,40
37;5;51;76;85,80;0,00;0,40
38;5;50;76;90,80;0,00;0,40
39;5;51;74;92,80;0,00;0,40
40;4;51;73;118,75;39,00;0,50
41;4;51;71;125,25;39,00;0,50
42;4;52;68;131,75;39,00;0,50
43;4;49;68;142,00;39,00;0,50
44;4;49;66;141,00;39,00;0,50
45;4;50;66;143,75;39,00;0,50
46;4;51;65;150,25;39,00;0,50
47;4;51;65;153,00;39,00;0,50
48;4;51;63;155,75;39,00;0,50
49;4;52;63;154,75;39,00;0,50
50;4;54;61;153,75;39,00;0,50
51;4;56;60;152,75;39,00;0,50
52;4;57;60;151,75;39,00;0,50
53;4;59;60;154,50;39,00;0,50
54;4;59;57;153,50;39,00;0,50
55;4;59;55;156,25;39,00;0,50
56;4;59;54;159,00;39,00;0,50
57;4;60;53;161,75;39,00;0,50
58;4;61;52;164,50;39,00;0,50
59;4;61;52;167,25;39,00;0,50
60;4;61;52;170,00;39,00;0,50
61;4;61;51;172,75;39,00;0,50
62;4;63;51;175,50;39,00;0,50
63;4;63;50;178,25;39,00;0,50
64;4;64;50;181,00;39,00;0,50
65;4;66;49;183,75;39,00;0,50
66;4;67;49;182,75;39,00;0,50
67;4;66;49;193,00;39,00;0,50
68;4;65;47;207,00;39,00;0,50
69;4;65;47;209,75;39,00;0,50
70;4;64;47;216,25;39,00;0,50
71;4;62;47;226,50;39,00;0,50
72;4;63;46;229,25;39,00;0,50
73;4;62;44;235,75;39,00;0,50
74;4;63;44;238,50;39,00;0,50
75;4;65;43;237,50;39,00;0,50
76;4;66;43;240,25;39,00;0,50
77;4;66;43;243,00;39,00;0,50
78;4;65;42;245,75;39,00;0,50
79;4;65;42;244,75;39,00;0,50
80;4;68;42;243,75;39,00;0,50
81;4;67;42;246,50;39,00;0,50
82;4;68;42;245,50;39,00;0,50
83;4;68;42;244,50;39,00;0,50
84;4;68;42;251,00;39,00;0,50
85;4;70;41;250,00;39,00;0,50
86;4;70;41;249,00;39,00;0,50
87;4;70;41;251,75;39,00;0,50
88;4;69;41;254,50;39,00;0,50
89;4;70;41;257,25;39,00;0,50
90;4;70;40;260,00;39,00;0,50
91;4;71;40;259,00;39,00;0,50
92;4;71;40;258,00;39,00;0,50
93;4;70;40;260,75;39,00;0,50
94;4;69;40;263,50;39,00;0,50
95;4;70;40;262,50;39,00;0,50
96;4;69;40;265,25;39,00;0,50
97;4;68;40;271,75;39,00;0,50
98;4;67;39;282,00;39,00;0,50
99;4;68;37;284,75;39,00;0,50
100;4;67;36;291,25;39,00;0,50
101;4;65;36;301,50;39,00;0,50
102;4;66;36;304,25;39,00;0,50
103;4;65;36;310,75;39,00;0,50
104;4;63;36;317,25;39,00;0,50
105;4;65;36;320,00;39,00;0,50
106;4;65;36;319,00;39,00;0,50
107;4;67;36;321,75;39,00;0,50
108;4;68;36;324,50;39,00;0,50
109;4;67;36;331,00;39,00;0,50
110;4;68;36;337,50;39,00;0,50
111;4;66;36;347,75;39,00;0,50
112;4;66;36;350,50;39,00;0,50
113;4;66;34;349,50;39,00;0,50
114;4;66;34;352,25;39,00;0,50
115;4;67;34;355,00;39,00;0,50
116;4;68;34;357,75;39,00;0,50
117;4;67;34;360,50;39,00;0,50
118;4;66;33;370,75;39,00;0,50
119;4;68;33;369,75;39,00;0,50
120;5;70;33;298,80;39,00;0,80
121;5;71;33;297,80;39,00;0,80
122;6;71;33;250,50;39,00;1,00
123;7;70;32;218,71;39,00;1,14
124;8;72;32;192,88;39,00;1,25
125;8;74;32;191,88;39,00;1,25
126;8;74;32;192,75;39,00;1,25
127;9;72;32;177,56;39,00;1,33
128;9;69;32;183,22;39,00;1,33
129;10;69;32;170,40;39,00;1,40
130;9;68;32;193,33;24,00;1,22
131;10;66;32;181,00;24,00;1,30
132;12;65;32;155,67;24,00;1,42
133;14;61;32;140,64;24,00;1,50
134;16;58;32;129,25;24,00;1,56
135;18;55;32;120,28;24,00;1,61
136;19;52;32;117,95;24,00;1,63
137;20;50;32;116,55;24,00;1,65
138;20;44;30;120,80;24,00;1,65
139;20;42;28;122,80;24,00;1,65
140;21;42;27;118,33;24,00;1,67
141;21;41;27;118,76;24,00;1,67
142;21;41;26;119,90;24,00;1,67
143;22;41;24;115,73;24,00;1,68
144;25;39;24;106,24;24,00;1,72
145;28;38;23;97,61;24,00;1,75
146;31;39;22;90,06;24,00;1,77
147;35;39;21;82,34;24,00;1,80
148;38;36;18;78,79;24,00;1,82
149;41;34;18;74,95;24,00;1,83
150;47;34;17;68,21;24,00;1,85
151;52;32;16;64,02;24,00;1,87
152;58;29;12;60,02;24,00;1,88
153;61;26;8;58,52;24,00;1,89
154;67;26;7;55,04;19,00;1,88
155;72;22;5;53,42;15,00;1,86
156;77;20;5;51,03;15,00;1,87
157;83;18;4;48,93;14,00;1,87
158;94;13;4;45,98;14,00;1,88
159;103;14;4;43,53;13,38;1,86
160;117;13;4;40,70;14,00;1,86
161;137;11;2;37,63;13,17;1,87
162;159;13;2;34,63;12,57;1,87
163;187;10;2;31,92;12,57;1,89
164;218;12;1;29,55;12,75;1,90
165;255;10;0;27,67;12,61;1,91
166;304;10;0;25,76;12,75;1,91
167;354;7;0;24,58;14,19;1,90
168;416;7;0;23,33;13,84;1,90
169;495;6;0;22,25;13,00;1,90
170;591;6;0;21,36;13,61;1,90
171;708;6;0;20,47;13,17;1,90
172;838;4;0;20,08;13,29;1,88
173;1005;4;0;19,56;13,01;1,88
174;1216;5;0;19,12;13,14;1,87
175;1469;4;0;18,73;13,02;1,87
176;1781;4;0;18,42;12,81;1,87
177;2168;4;0;18,17;12,27;1,87
178;2643;4;0;18,00;12,04;1,87
179;3223;4;0;17,87;11,83;1,86
180;3933;4;0;17,80;11,77;1,86
181;4825;4;0;17,72;11,42;1,86
182;5916;4;0;17,65;11,12;1,86
183;7270;4;0;17,60;10,84;1,86
184;8935;4;0;17,57;10,58;1,86
185;10980;4;0;17,54;10,37;1,86
186;13509;4;0;17,53;10,26;1,86
187;16628;4;0;17,52;10,09;1,86
188;20463;4;0;17,51;9,93;1,86
