Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;4;4;389;39,00;0,00;0,00
1;4;7;383;38,00;0,00;0,00
2;4;10;377;40,75;0,00;0,00
3;4;14;370;39,75;0,00;0,00
4;4;18;364;38,75;0,00;0,00
5;4;19;359;37,75;0,00;0,00
6;4;21;355;36,75;0,00;0,00
7;4;24;351;35,75;0,00;0,00
8;4;26;346;38,50;0,00;0,00
9;4;29;339;37,50;0,00;0,00
10;4;31;334;36,50;0,00;0,00
11;4;34;328;35,50;0,00;0,00
12;4;38;322;34,50;0,00;0,00
13;4;42;317;33,50;0,00;0,00
14;4;44;313;32,50;0,00;0,00
15;4;48;306;31,50;0,00;0,00
16;4;50;303;30,50;0,00;0,00
17;4;52;299;29,50;0,00;0,00
18;4;52;298;32,25;0,00;0,00
19;4;54;296;35,00;0,00;0,00
20;4;55;292;37,75;0,00;0,00
