Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;12;4;81;35,67;0,00;0,33
1;12;7;69;34,67;0,00;0,33
2;13;8;62;33,69;0,00;0,46
3;14;10;50;32,79;0,00;0,57
4;15;9;48;34,93;0,00;0,67
5;15;10;38;35,93;0,00;0,67
6;16;11;35;35,81;0,00;0,75
7;17;14;32;34,76;0,00;0,82
8;18;17;26;33,78;0,00;0,89
9;18;17;24;33,61;0,00;0,89
10;19;19;23;33,47;0,00;0,95
11;21;19;20;32,19;0,00;1,05
12;22;19;16;31,68;0,00;1,09
13;22;19;14;31,41;0,00;1,09
14;23;19;14;30,61;0,00;1,13
15;24;18;13;30,83;0,00;1,17
16;26;19;12;29,15;0,00;1,23
17;30;18;12;27,80;0,00;1,33
18;31;18;11;27,16;0,00;1,35
19;34;17;11;26,00;0,00;1,41
20;32;16;11;29,69;19,00;1,38
21;35;17;11;29,14;19,00;1,43
22;37;17;11;28,51;19,00;1,46
23;40;16;10;28,88;19,00;1,50
24;42;15;9;28,52;19,00;1,52
25;45;15;9;28,31;19,83;1,53
