Dzien;Zwierzeta;Rosliny;Wolne_Pola;Srednia_Energia;Srednia_Dlugosc_Zycia;Srednia_Liczba_Dzieci
0;20;4;185;39,00;0,00;0,00
1;20;7;169;38,00;0,00;0,00
2;22;11;155;35,36;0,00;0,18
3;24;14;144;33,42;0,00;0,33
4;24;17;131;32,42;0,00;0,33
5;27;20;120;30,04;0,00;0,52
6;31;21;111;27,97;0,00;0,71
7;32;21;102;27,06;0,00;0,75
8;33;24;95;25,85;0,00;0,79
9;36;24;89;24,83;0,00;0,89
10;37;27;83;23,89;0,00;0,92
11;38;28;78;23,24;0,00;0,95
12;39;28;72;22,82;0,00;0,97
13;39;28;66;22,23;0,00;0,97
14;40;26;62;21,75;0,00;1,00
15;42;26;57;21,31;0,00;1,05
16;42;28;53;20,93;9,00;1,02
17;43;27;49;20,67;9,00;1,05
18;46;27;44;20,00;9,00;1,11
19;47;29;39;19,00;9,00;1,13
20;40;31;36;22,55;18,00;0,98
21;42;31;34;22,24;17,91;1,00
22;44;31;30;21,73;18,00;1,05
23;46;31;29;21,63;18,31;1,07
24;46;29;26;21,13;18,31;1,07
25;45;27;25;21,31;18,36;1,04
26;44;26;24;21,59;18,44;1,02
27;44;28;24;21,18;18,59;1,00
28;43;30;21;20,67;19,06;0,95
29;43;29;19;20,51;18,53;0,93
30;39;29;18;22,54;20,29;0,92
31;39;31;16;22,41;20,56;0,92
32;39;30;14;22,26;20,56;0,92
33;41;29;14;21,73;20,56;0,98
34;42;30;13;21,36;20,50;1,00
35;43;29;10;21,63;20,44;1,02
36;44;27;9;21,20;20,44;1,05
37;45;28;9;20,18;20,44;1,07
38;43;27;9;21,44;21,16;1,07
39;43;29;9;21,07;21,41;1,07
40;42;27;9;21,07;21,94;1,10
41;38;27;9;22,45;21,76;1,00
42;36;29;9;23,14;22,13;1,00
43;36;31;9;22,58;22,13;1,00
44;37;34;7;21,68;22,13;1,03
45;38;37;6;21,29;22,68;1,11
46;39;37;6;21,44;23,07;1,18
47;37;39;6;22,14;23,43;1,14
48;38;37;6;21,84;23,43;1,16
49;39;36;5;22,10;23,29;1,15
50;40;36;5;21,93;23,41;1,20
51;42;35;5;22,36;23,63;1,17
52;41;35;5;22,90;23,84;1,20
53;44;34;5;22,61;23,75;1,25
54;44;31;4;22,91;24,13;1,27
55;47;28;4;22,91;24,49;1,34
56;49;25;4;22,86;24,57;1,39
57;53;26;4;21,94;24,57;1,43
58;58;29;4;20,81;24,57;1,48
59;61;25;4;21,61;24,23;1,46
60;63;25;4;21,83;24,25;1,46
61;65;26;4;21,60;24,21;1,48
62;69;22;4;22,00;24,97;1,54
63;72;22;2;21,56;25,18;1,58
64;77;24;2;20,81;25,05;1,60
65;80;23;1;20,50;24,57;1,59
66;87;26;0;19,75;24,43;1,61
67;90;28;0;19,56;23,79;1,59
68;95;30;0;19,37;23,87;1,61
69;103;26;0;19,61;23,81;1,64
70;112;27;0;19,02;24,00;1,69
71;119;25;0;18,91;23,57;1,69
72;127;22;0;18,44;23,40;1,70
73;137;19;0;18,27;23,01;1,71
74;148;17;0;18,14;22,88;1,72
75;148;16;0;18,86;22,55;1,69
76;152;16;0;19,26;21,95;1,66
77;163;15;0;19,06;22,15;1,66
78;181;13;0;18,66;22,14;1,69
79;198;12;0;18,44;22,44;1,68
80;210;11;0;18,35;22,44;1,68
81;226;8;0;18,04;22,03;1,68
82;251;6;0;17,84;21,81;1,71
83;273;7;0;17,61;21,32;1,71
84;299;6;0;17,51;21,04;1,73
85;325;6;0;17,35;20,85;1,73
86;359;7;0;17,03;20,58;1,74
87;402;7;0;16,73;20,96;1,74
88;438;7;0;16,89;20,33;1,72
89;485;7;0;17,06;20,26;1,72
90;547;7;0;17,06;19,80;1,74
91;617;5;0;17,03;19,29;1,75
92;694;4;0;17,16;18,65;1,75
93;797;6;0;17,15;18,17;1,76
94;923;4;0;17,22;17,75;1,77
95;1073;4;0;17,20;17,38;1,78
96;1259;4;0;17,22;17,15;1,78
97;1496;4;0;17,20;16,71;1,80
98;1774;4;0;17,26;16,14;1,80
99;2126;4;0;17,33;15,59;1,81
100;2568;4;0;17,29;15,08;1,82
101;3115;4;0;17,31;14,53;1,83
102;3780;4;0;17,32;14,00;1,83
103;4601;4;0;17,36;13,47;1,84
104;5618;4;0;17,38;12,98;1,84
105;6872;4;0;17,40;12,53;1,85
106;8421;4;0;17,41;12,10;1,85
107;10330;4;0;17,43;11,73;1,85
108;12696;4;0;17,43;11,38;1,86
109;15598;4;0;17,45;11,05;1,86
110;19182;4;0;17,46;10,79;1,86
111;23590;4;0;17,48;10,53;1,86
112;29056;4;0;17,48;10,30;1,86
113;35783;4;0;17,48;10,09;1,86
114;44082;4;0;17,49;9,92;1,86
115;54338;4;0;17,49;9,77;1,86
116;66970;4;0;17,49;9,65;1,86
117;82559;4;0;17,50;9,54;1,86
118;101792;4;0;17,50;9,46;1,86
119;125521;4;0;17,50;9,38;1,86
120;154805;4;0;17,51;9,32;1,86
121;190941;4;0;17,51;9,26;1,86
122;235503;4;0;17,51;9,22;1,86
123;290499;4;0;17,51;9,18;1,86
124;358343;4;0;17,51;9,15;1,86
125;442042;4;0;17,51;9,12;1,86
126;545319;4;0;17,51;9,10;1,86
127;672722;4;0;17,51;9,08;1,86
128;829913;4;0;17,51;9,07;1,86
129;1023842;4;0;17,51;9,06;1,86
